"astro-ph/0012040","Alexander Kusenko","Alexander Kusenko and Vadim A. Kuzmin","Possible galactic sources of ultrahigh-energy cosmic rays and a strategy
  for their detection via gravitational lensing","3 pages, one figure; references added","Pisma Zh.Eksp.Teor.Fiz.73:503,2001; JETP Lett.73:443-445,2001","10.1134/1.1385653","UCLA/00/TEP/28, BNL-HET-00/43","astro-ph hep-ph",,"  If decays of superheavy relic particles in the galactic halo are responsible
for ultrahigh-energy cosmic rays, these particles must be clustered to account
for small-scale anisotropy in the AGASA data. We show that the masses of such
clusters are large enough for them to gravitationally lens stars and galaxies
in the background. We propose a general strategy that can be used to detect
such clusters via gravitational lensing, or to rule out the hypothesis of
decaying relic particles as the origin of highest-energy cosmic rays.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 23:50:20 GMT""},{""version"":""v2"",""created"":""Thu, 12 Apr 2001 23:39:19 GMT""}]","2014-10-13"
"nucl-th/0012013","Guichon","G. Chanfray, M. Ericson, P.A.M. Guichon","Chiral symmetry and quantum hadro-dynamics","24 pages, 2 figures","Phys.Rev. C63 (2001) 055202","10.1103/PhysRevC.63.055202","LYCEN2000-130,CERN-TH/2000-346,DAPNIA/SPhN-00-74","nucl-th",,"  Using the linear sigma model, we study the evolutions of the quark condensate
and of the nucleon mass in the nuclear medium. Our formulation of the model
allows the inclusion of both pion and scalar-isoscalar degrees of freedom. It
guarantees that the low energy theorems and the constrains of chiral
perturbation theory are respected. We show how this formalism incorporates
quantum hadro-dynamics improved by the pion loops effects.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 11:35:08 GMT""}]","2009-11-06"
"nucl-th/0012014",,"Marcello Baldo and Fiorella Burgio (Istituto Nazionale di Fisica
  Nucleare, Sezione di Catania, Italy)","Microscopic Theory of the Nuclear Equation of State and Neutron Star
  Structure","30 pages, 21 postscript figures included. Lecture presented at the
  workshop on ""Physics of Neutron Stars Interior"" held at the European Center
  for Theoretical Nuclear Physics, June 2000, Trento, Italy. To be published in
  Lecture Notes in Physics, eds. D. Blaschke, N. K. Glendenning and A.
  Sedrakian (Springer, 2001)","Lect.Notes Phys. 578 (2001) 1-29",,,"nucl-th astro-ph",,"  The Bethe-Brueckner-Goldstone many-body theory of the Nuclear Equation of
State is reviewed in some details. In the theory, one performs an expansion in
terms of the Brueckner two-body scattering matrix and an ordering of the
corresponding many-body diagrams according to the number of their hole-lines.
Recent results are reported, both for symmetric and for pure neutron matter,
based on realistic two-nucleon interactions. It is shown that there is strong
evidence of convergence in the expansion. Once three-body forces are
introduced, the phenomenological saturation point is reproduced and the theory
is applied to the study of neutron star properties. One finds that in the
interior of neutron stars the onset of hyperons strongly softens the Nuclear
Equation of State. As a consequence, the maximum mass of neutron stars turns
out to be at the lower limit of the present phenomenological observation.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 13:34:47 GMT""}]","2007-05-23"
"physics/0012005","Chung-Chieh","Chung-Chieh Cheng, E. M. Wright, and J. V. Moloney","Generation of electromagnetic pulses from plasma channels induced by
  femtosecond light strings","4pages, 1 figures, submitted to Phys. Rev. Lett. for publication",,"10.1103/PhysRevLett.87.213001",,"physics.plasm-ph physics.optics",,"  We present a model that elucidates the physics underlying the generation of
an electromagnetic pulse from a femtosecond laser induced plasma channel. The
radiation pressure force from the laser pulse spatially separates the ionized
electrons from the heavier ions and the induced dipole moment subsequently
oscillates at the plasma frequency and radiates an electromagnetic pulse.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 21:04:14 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 2000 19:44:40 GMT""},{""version"":""v3"",""created"":""Thu, 7 Dec 2000 15:48:11 GMT""},{""version"":""v4"",""created"":""Thu, 19 Jul 2001 23:28:53 GMT""}]","2009-11-06"
"physics/0012006","Oleg","E. L. Afraimovich, E. A. Kosogorov, O. S. Lesyuta, I. I. Ushakov
  (Institute of Solar-Terrestrial Physics, Russian) and A. F. Yakovets
  (Institute of Ionosphere, Almaty, Kazakhstan)","Geomagnetic control of the spectrum of traveling ionospheric
  disturbances based on data from a global GPS network","LaTeX2.09, 16 pages, 5 figures, 1 table, egs.cls, egs.bst (the style
  files)",,"10.5194/angeo-19-723-2001","ISTF-00-12","physics.geo-ph",,"  In this paper an attempt is made to verify the hypothesis on the role of
geomagnetic disturbances as a factor determining the intensity of traveling
ionospheric disturbances (TIDs). To improve the statistical validity of the
data, we have used the based on the new GLOBDET technology method involving a
global spatial averaging of disturbance spectra of the total electron content
(TEC). To characterize the TID intensity quantitatively, we suggest that a new
global index of the degree of disturbance should be used, which is equal to the
mean value of the rms variations in TEC within the selected range of spectral
periods (of 20-60 min in the present case). It was found that power spectra of
daytime TEC variations in the range of 20-60 min periods under quiet conditions
have a power-law form, with the slope index k = -2.5. With an increase of the
level of magnetic disturbance, there is an increase in total intensity of TIDs,
with a concurrent kink of the spectrum caused by an increase in oscillation
intensity in the range of 20-60 min. It was found that an increase in the level
of geomagnetic activity is accompanied by an increase in total intensity of
TEC; however, it correlates not with the absolute level of Dst, but with the
value of the time derivative of Dst (a maximum correlation coefficient reaches
-0.94). The delay of the TID response of the order of 2 hours is consistent
with the view that TIDs are generated in auroral regions, and propagate
equatorward with the velocity of about 300-400 m/s.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 03:26:21 GMT""}]","2015-06-26"
"physics/0012007","Victor P. Ruban","V.P. Ruban, D.I. Podolsky, J.J. Rasmussen","Finite time singularities in a class of hydrodynamic models","LaTeX, 17 pages, 3 eps figures. This version is close to the journal
  paper","Phys. Rev. E, 63, 056306 (2001)","10.1103/PhysRevE.63.056306",,"physics.flu-dyn",,"  Models of inviscid incompressible fluid are considered, with the kinetic
energy (i.e., the Lagrangian functional) taking the form ${\cal L}\sim\int
k^\alpha|{\bf v_k}|^2d^3{\bf k}$ in 3D Fourier representation, where $\alpha$
is a constant, $0<\alpha< 1$. Unlike the case $\alpha=0$ (the usual Eulerian
hydrodynamics), a finite value of $\alpha$ results in a finite energy for a
singular, frozen-in vortex filament. This property allows us to study the
dynamics of such filaments without the necessity of a regularization procedure
for short length scales. The linear analysis of small symmetrical deviations
from a stationary solution is performed for a pair of anti-parallel vortex
filaments and an analog of the Crow instability is found at small wave-numbers.
A local approximate Hamiltonian is obtained for the nonlinear long-scale
dynamics of this system. Self-similar solutions of the corresponding equations
are found analytically. They describe the formation of a finite time
singularity, with all length scales decreasing like $(t^*-t)^{1/(2-\alpha)}$,
where $t^*$ is the singularity time.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 09:05:04 GMT""},{""version"":""v2"",""created"":""Wed, 18 Apr 2001 16:39:08 GMT""}]","2009-11-06"
"physics/0012008","Carsten Henkel","C. Henkel","Coherent Transport","Minor typos corrected. Proceedings of the `Euroconference on Atom
  Optics and Interferometry' (Cargese, France 26-29 july 2000). Accepted for
  publication in C. R. Acad. Sci. Paris, Serie IV, 11 pages","C. R. Acad. Sci. (Paris), S\'erie IV 2 (2001) 573","10.1016/S1296-2147(01)01195-7",,"physics.atom-ph",,"  We discuss the transport of matter waves in low-dimensional waveguides. Due
to scattering from uncontrollable noise fields, the spatial coherence gets
reduced and eventually lost. We develop a description of this decoherence
process in terms of transport equations for the atomic Wigner function. We
outline its derivation and discuss the special case of white noise where an
analytical solution can be found.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 10:23:55 GMT""},{""version"":""v2"",""created"":""Wed, 18 Apr 2001 14:50:51 GMT""}]","2021-08-06"
"quant-ph/0012015","Antonio Acin","A. Acin, E. Jane, G. Vidal","Optimal estimation of quantum dynamics","4 pages, REVTEX","Phys. Rev. A 64, 050302(R) (2001).","10.1103/PhysRevA.64.050302",,"quant-ph",,"  We construct the optimal strategy for the estimation of an unknown unitary
transformation $U\in SU(d)$. This includes, in addition to a convenient
measurement on a probe system, finding which is the best initial state on which
$U$ is to act. When $U\in SU(2)$, such an optimal strategy can be applied to
estimate simultaneously both the direction and the strength of a magnetic
field, and shows how to use a spin 1/2 particle to transmit information about a
whole coordinate system instead of only a direction in space.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 16:33:14 GMT""}]","2009-11-06"
"quant-ph/0012017","Scott M. Hitchcock","Scott M. Hitchcock","Time and Information","11 pages, no figures, corrected equations and revised contents",,,"MSUCL-1183","quant-ph",,"  The relationship between 'information' and 'time' is explored in order to
look for a 'solution' to the 'Problem of Time'. 'Time' is found to be the
result of the conversion of energy into 'information'. The 'time' number or
label we assign to 'events' can be manufactured by processing information
'flowing' from a Feynman Clock (FC), via a 'signal', to a Feynman Detector (FD)
in causal networks. Macroscopic arrows of time are built from the irreversible
Quantum Arrow of Time (QAT) associated with unstable or excited states of
quantum systems. The QAT is shown to be connected to the thermodynamic arrow of
time. Collective Excitations, and causal networks provide a means for
understanding 'time' in complex systems. The ordered set of the 'time' numbers
labeling 'events' can be used to construct the 'direction' and 'dimension'
associated with the usual conception of a 'time' axis or 'time' coordinate in
quantum, classical and realtivistic mechanics.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 00:40:49 GMT""},{""version"":""v2"",""created"":""Sun, 4 Feb 2001 18:05:07 GMT""}]","2007-05-23"
"quant-ph/0012018","Dave Bacon","D. Bacon, K.R. Brown, K.B. Whaley (University of California, Berkeley)","Coherence-Preserving Quantum Bits","5 pages, 1 figure","Phys. Rev. Lett. Vol 87 (24), 247902 (2001)","10.1103/PhysRevLett.87.247902",,"quant-ph",,"  Real quantum systems couple to their environment and lose their intrinsic
quantum nature through the process known as decoherence. Here we present a
method for minimizing decoherence by making it energetically unfavorable. We
present a Hamiltonian made up solely of two-body interactions between four
two-level systems (qubits) which has a two-fold degenerate ground state. This
degenerate ground state has the property that any decoherence process acting on
an individual physical qubit must supply energy from the bath to the system.
Quantum information can be encoded into the degeneracy of the ground state and
such coherence-preserving qubits will then be robust to local decoherence at
low bath temperatures. We show how this quantum information can be universally
manipulated and indicate how this approach may be applied to a quantum dot
quantum computer.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 03:25:14 GMT""},{""version"":""v2"",""created"":""Mon, 5 Aug 2002 22:27:41 GMT""}]","2009-11-06"
"quant-ph/0012019","Viswanath Ramakrishna","V. Ramakrishna, R. J. Ober, K. L. Flores and H. Rabitz","Control of a Coupled Two Spin System Without Hard Pulses","21 pages, submitted to Physical Review A",,,,"quant-ph",,"  Constructive methods for controlling a coupled, two spin system via bounded
amplitude, piecewise sinusoidal fields are provided. The fields are incident at
the alrmor frequencies and take one of two phase values
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 03:41:29 GMT""}]","2007-05-23"
"quant-ph/0012020",,"N. J. Cerf (ULB, JPL/Caltech), S. Iblisdir (ULB)","Phase Conjugation of Continuous Quantum Variables","3 pages, RevTex","Phys. Rev. A 64, 032307 (2001)","10.1103/PhysRevA.64.032307",,"quant-ph",,"  The phase conjugation of an unknown Gaussian state cannot be realized
perfectly by any physical process. A semi-classical argument is used to derive
a tight lower bound on the noise that must be introduced by an approximate
phase conjugation operation. A universal transformation achieving the optimal
imperfect phase conjugation is then presented, which is the continuous
counterpart of the universal-NOT transformation for quantum bits. As a
consequence, it is also shown that more information can be encoded into a pair
of conjugate Gaussian states than using twice the same state.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 10:01:49 GMT""}]","2009-11-06"
"quant-ph/0012021","Ian C. Percival","Ian C. Percival","Speakable and unspeakable after John Bell","Given at the International Erwin Schroedinger Institute, Vienna at
  the November 2000 Conference in commemoration of John Bell. 10 pages
  including one figure",,,,"quant-ph",,"  `Philosophy' was speakable for John Bell but is not for many physicists. The
border between philosophy and physics is here illustrated through Brownian
motion and Bell experiments. `Measurement', however, was unspeakable for Bell.
His insistence that the physics of quantum measurement should not be confined
to the laboratory and that physics is concerned with the big world outside
leads us to examples from zoology, meteorology and cosmology.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 12:03:34 GMT""}]","2007-05-23"
"quant-ph/0012022","Gontp","Li-Xiang Cen, Shun-Jin Wang","Distilling a Greenberger-Horne-Zeilinger State From an Arbitrary Pure
  State of Three Qubits","5 pages, Latex file",,,,"quant-ph",,"  We present a general algorithm to achieve local operators which can produce
the GHZ state for an arbitrary given three-qubit state. Thus the distillation
process of the state can be realized optimally. The algorithm is shown to be
sufficient for the three-qubit state on account of the fact that any state for
which this distillation algorithm is invalid cannot be distilled to the GHZ
state by any local actions. Moreover, an analytical result of distillation
operations is achieved for the general state of three qubits.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 13:46:50 GMT""}]","2007-05-23"
"quant-ph/0012023","Ladislav Mista, Jr","L. Mista Jr., R. Filip","Non-perturbative solution of nonlinear Heisenberg equations","10 pages",,"10.1088/0305-4470/34/27/310",,"quant-ph",,"  A new non-perturbative method of solution of the nonlinear Heisenberg
equations in the finite-dimensional subspace is illustrated. The method, being
a counterpart of the traditional Schrodinger picture method, is based on a
finite operator expansion into the elementary processes. It provides us with
the insight into the nonlinear quantal interaction from the different point of
view. Thus one can investigate the nonlinear system in both pictures of quantum
mechanics.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 14:38:45 GMT""}]","2016-09-08"
"quant-ph/0012024","Ian C. Percival","Roberto M. Basoalto and Ian C. Percival","A general computer program for the Bell detection loophole","10 pages, no figures. Revised version with additional reference to
  Pitowski and Svozil",,"10.1016/S0375-9601(01)00035-4",,"quant-ph",,"  The difference between ideal experiments to test Bell's weak nonlocality and
the real experiments leads to loopholes. Ideal experiments involve either
inequalities (Bell) or equalities (Greenberger, Horne, Zeilinger). Every real
experiment has its own critical inequalities, which are almost all more
complicated than the corresponding ideal inequalities and equalities. If one of
these critical inequalities is violated, then the detection loophole is closed,
with no further assumptions. If all the critical inequalities are satisfied,
then it remains open, unless further assumptions are made. The computer program
described here and published on the website
http://www.strings.ph.qmw.ac.uk/QI/main.htm obtains the critical inequalities
for any real experiment, given the number of allowed settings of the angles and
the corresponding possible output signals for a single run. Given all the
necessary conditional probabilities or rates, it tests whether all these
inequalities are satisfied.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 15:34:13 GMT""},{""version"":""v2"",""created"":""Mon, 11 Dec 2000 14:07:30 GMT""}]","2009-11-06"
